Sr. No,Serial no.,Scientific Name,Tree Name,Latitude,Longitude,Girth(Inch),Height(Ft),Age(years),Condition,Address,Landmark,Concern Person,Ownership,Remarks
239,W11641640005457-yj4oO,Tamarindus Indica,Tamarind,18.16223637,74.57814105,49,29,Heritage,Good,Satav Estat,Satav Estat,A Raut,Private,Good
240,W11641640011709-yj4oO,Tamarindus Indica,Tamarind,18.16233864,74.5780579,55,25,Heritage,Good,Satav Estat,Satav Estat,A Raut,Private,Good
241,W11641640866932-yj4oO,Tamarindus Indica,Tamarind,18.15350187,74.57013097,48,28,Heritage,Good,panchshil nagar,panchshil nagar,A Raut,Private,Good
242,W11641641229849-yj4oO,Ficus Benghalensis,Banyan,18.14693055,74.56802476,51,29,Heritage,Good,Ba n pa shala 2,Ba n pa shala 2,A Raut,Government,Good
243,W11641641436076-yj4oO,Ficus Religiosa,peepal tree,18.14665592,74.5691067,69,27,Heritage,Good,Kashi Vishwsewar mandir,Kashi Vishwsewar mandir,A Raut,Government,Good
244,W11641641647943-yj4oO,Azadirachta Indica,Neem Tree,18.14560995,74.56861753,52,26,Heritage,Good,Kashi Vishwsewar mandir,Kashi Vishwsewar mandir,A Raut,Government,Good
245,W11641641744171-yj4oO,Tamarindus Indica,Tamarind,18.14517538,74.56898097,56,29,Heritage,Good,Panchal nagar,Panchal nagar,A Raut,Private,Good
246,W11641641863787-yj4oO,Ficus Benghalensis,Banyan,18.14495777,74.56815083,59,27.5,Heritage,Good,Shivaji Udyan,Shivaji Udyan,A Raut,Government,Good
247,W11641641886162-yj4oO,Samanea Saman,Monkey pod tree,18.14454486,74.5685022,57,29,Heritage,Good,Shivaji Udyan,Shivaji Udyan,A Raut,Government,Good
248,W11641641886634-yj4oO,Samanea Saman,Monkey pod tree,18.14415935,74.56857026,55,27,Heritage,Good,Shivaji Udyan,Shivaji Udyan,A Raut,Government,Good
249,W11641643554110-yj4oO,Samanea Saman,Monkey pod tree,18.13361927,74.54007648,61,26,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
250,W11641643557835-yj4oO,Samanea Saman,Monkey pod tree,18.1335702,74.53971975,53,29,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
251,W11641643582116-yj4oO,Azadirachta Indica,Neem Tree,18.13367598,74.54035409,59,31,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
252,W11641643663077-yj4oO,Samanea Saman,Monkey pod tree,18.13392323,74.5384182,54,33,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
253,W11641643663442-yj4oO,Samanea Saman,Monkey pod tree,18.13396402,74.53818016,52,27,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
254,W11641643664719-yj4oO,Samanea Saman,Monkey pod tree,18.13393853,74.53791361,79,26,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
255,W11641643665780-yj4oO,Samanea Saman,Monkey pod tree,18.13391782,74.53771949,78,29,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
256,W11641643668198-yj4oO,Samanea Saman,Monkey pod tree,18.13386333,74.53751799,80,25,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
257,W11641643748954-yj4oO,Azadirachta Indica,Neem Tree,18.13341567,74.53662146,52,28,Heritage,Good,Nira baramati road,Nira baramati road,A Raut,Government,Good
258,W11641643817288-yj4oO,Samanea Saman,Monkey pod tree,18.13364954,74.53577019,56,29,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
259,W11641643817977-yj4oO,Samanea Saman,Monkey pod tree,18.13362118,74.53546207,59,27,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
260,W11641643818717-yj4oO,Samanea Saman,Monkey pod tree,18.13362086,74.53519553,57,26,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
261,W11641643819555-yj4oO,Samanea Saman,Monkey pod tree,18.13362755,74.53493334,55,29,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
262,W11641643820920-yj4oO,Samanea Saman,Monkey pod tree,18.13359537,74.53461852,61,27.5,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
263,W11641643821577-yj4oO,Samanea Saman,Monkey pod tree,18.13360971,74.53431878,53,29,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
264,W11641643851506-yj4oO,Azadirachta Indica,Neem Tree,18.13362118,74.53555629,59,27,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
265,W11641643928713-yj4oO,Azadirachta Indica,Neem Tree,18.13364985,74.5358339,54,26,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
266,W11641644177514-yj4oO,Ficus Benghalensis,Banyan,18.13297596,74.53831293,52,29,Heritage,Good,Nira baramati road A pawar,Nira baramati road A pawar,A Raut,Government,Good
267,W11641644297933-yj4oO,Azadirachta Indica,Neem Tree,18.13264937,74.53872297,52,31,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
268,W11641644321318-yj4oO,Ficus Religiosa,peepal tree,18.13148129,74.53870051,71,33,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
269,W11641644348061-yj4oO,Ficus Religiosa,peepal tree,18.13139462,74.53912195,74,27,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
270,W11641644384355-yj4oO,Tamarindus Indica,Tamarind,18.13196146,74.53958429,57,26,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
271,W11641644413350-yj4oO,Azadirachta Indica,Neem Tree,18.13219055,74.53918397,55,29,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
272,W11641644525594-yj4oO,Samanea Saman,Monkey pod tree,18.13384294,74.53711599,61,25,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
273,W11641644650715-yj4oO,Tamarindus Indica,Tamarind,18.13285935,74.54034872,53,28,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
274,W11641644651599-yj4oO,Tamarindus Indica,Tamarind,18.13272967,74.54047278,59,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
275,W11641644653224-yj4oO,Tamarindus Indica,Tamarind,18.133004,74.54021897,54,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
276,W11641644828685-yj4oO,Tamarindus Indica,Tamarind,18.13323692,74.54127107,52,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
277,W11641644850497-yj4oO,Tamarindus Indica,Tamarind,18.13286094,74.54079665,79,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
278,W11641644874249-yj4oO,Tamarindus Indica,Tamarind,18.13235878,74.53923661,78,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
279,W11641644875367-yj4oO,Tamarindus Indica,Tamarind,18.1328552,74.53963827,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
280,W11641644878405-yj4oO,Tamarindus Indica,Tamarind,18.13271469,74.53961011,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
281,W11641644880213-yj4oO,Tamarindus Indica,Tamarind,18.13192705,74.53924164,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
282,W11641644896272-yj4oO,Tamarindus Indica,Tamarind,18.13254709,74.54034872,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
283,W11641644899633-yj4oO,Tamarindus Indica,Tamarind,18.13245278,74.54054553,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
284,W11641644903786-yj4oO,Tamarindus Indica,Tamarind,18.13198281,74.53988336,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
285,W11641644907324-yj4oO,Tamarindus Indica,Tamarind,18.13198026,74.540109,48,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
286,W11641644920697-yj4oO,Tamarindus Indica,Tamarind,18.13011054,74.53956552,51,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
287,W11641644923735-yj4oO,Tamarindus Indica,Tamarind,18.13007549,74.54015493,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
288,W11641644926287-yj4oO,Tamarindus Indica,Tamarind,18.13037309,74.54064645,49,25,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
289,W11641645012780-yj4oO,Tamarindus Indica,Tamarind,18.13372091,74.54148933,46,28,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
290,W11641645013568-yj4oO,Tamarindus Indica,Tamarind,18.13372346,74.54160735,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
291,W11641645019116-yj4oO,Tamarindus Indica,Tamarind,18.13381044,74.54149436,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
292,W11641645019805-yj4oO,Tamarindus Indica,Tamarind,18.13382064,74.54160634,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
293,W11641645027169-yj4oO,Tamarindus Indica,Tamarind,18.13382446,74.54170223,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
294,W11641645028118-yj4oO,Tamarindus Indica,Tamarind,18.13381777,74.54168078,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
295,W11641645034638-yj4oO,Tamarindus Indica,Tamarind,18.13383083,74.54157718,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
296,W11641645038600-yj4oO,Tamarindus Indica,Tamarind,18.13372123,74.54166669,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
297,W11641645040335-yj4oO,Tamarindus Indica,Tamarind,18.13373174,74.54175722,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
298,W11641645043959-yj4oO,Tamarindus Indica,Tamarind,18.1337327,74.54184338,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
299,W11641645048391-yj4oO,Tamarindus Indica,Tamarind,18.13373588,74.54194464,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
300,W11641645049592-yj4oO,Tamarindus Indica,Tamarind,18.13373748,74.54192318,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
301,W11641645055852-yj4oO,Tamarindus Indica,Tamarind,18.13373333,74.54204589,48,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
302,W11641645060432-yj4oO,Tamarindus Indica,Tamarind,18.13383434,74.54186786,51,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
303,W11641645061227-yj4oO,Tamarindus Indica,Tamarind,18.13383179,74.54182863,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
304,W11641645072578-yj4oO,Tamarindus Indica,Tamarind,18.13386238,74.54212032,49,25,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
305,W11641645077092-yj4oO,Tamarindus Indica,Tamarind,18.1338474,74.54231713,46,28,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
306,W11641645078473-yj4oO,Tamarindus Indica,Tamarind,18.13371676,74.54216693,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
307,W11641645079160-yj4oO,Tamarindus Indica,Tamarind,18.13372919,74.54228293,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
308,W11641645081466-yj4oO,Tamarindus Indica,Tamarind,18.13374034,74.54238318,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
309,W11641645083252-yj4oO,Tamarindus Indica,Tamarind,18.13387162,74.54240564,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
310,W11641645086652-yj4oO,Tamarindus Indica,Tamarind,18.13374257,74.54251461,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
311,W11641645087679-yj4oO,Tamarindus Indica,Tamarind,18.13387225,74.54254445,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
312,W11641645089202-yj4oO,Tamarindus Indica,Tamarind,18.13375149,74.5426219,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
313,W11641645089819-yj4oO,Tamarindus Indica,Tamarind,18.13388436,74.54263531,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
314,W11641645093889-yj4oO,Tamarindus Indica,Tamarind,18.13377252,74.54276606,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
315,W11641645094367-yj4oO,Tamarindus Indica,Tamarind,18.13389679,74.54276942,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
316,W11641645097198-yj4oO,Tamarindus Indica,Tamarind,18.13378686,74.54288676,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
317,W11641645098389-yj4oO,Tamarindus Indica,Tamarind,18.133885,74.54289582,48,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
318,W11641645101859-yj4oO,Tamarindus Indica,Tamarind,18.13378113,74.5429974,51,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
319,W11641645105681-yj4oO,Tamarindus Indica,Tamarind,18.13387385,74.54297829,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
320,W11641645108312-yj4oO,Tamarindus Indica,Tamarind,18.13377284,74.54316538,49,25,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
321,W11641645109805-yj4oO,Tamarindus Indica,Tamarind,18.1337773,74.54326898,46,28,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
322,W11641645110745-yj4oO,Tamarindus Indica,Tamarind,18.13377412,74.54337761,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
323,W11641645111771-yj4oO,Tamarindus Indica,Tamarind,18.13390953,74.54333033,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
324,W11641645114645-yj4oO,Tamarindus Indica,Tamarind,18.13390666,74.54327703,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
325,W11641645117239-yj4oO,Tamarindus Indica,Tamarind,18.13390284,74.5431741,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
326,W11641645137084-yj4oO,Tamarindus Indica,Tamarind,18.13388086,74.54462752,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
327,W11641645140581-yj4oO,Tamarindus Indica,Tamarind,18.13393662,74.54482634,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
328,W11641645153112-yj4oO,Tamarindus Indica,Tamarind,18.13406024,74.54515994,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
329,W11641645159615-yj4oO,Tamarindus Indica,Tamarind,18.13412524,74.54534937,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
330,W11641645160433-yj4oO,Tamarindus Indica,Tamarind,18.13417909,74.545459,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
331,W11641645169308-yj4oO,Tamarindus Indica,Tamarind,18.13420044,74.54554886,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
332,W11641645170268-yj4oO,Tamarindus Indica,Tamarind,18.13424313,74.54560652,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
333,W11641645171556-yj4oO,Tamarindus Indica,Tamarind,18.1342648,74.5456833,48,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
334,W11641645172493-yj4oO,Tamarindus Indica,Tamarind,18.13430144,74.54577081,51,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
335,W11641645176789-yj4oO,Tamarindus Indica,Tamarind,18.13435879,74.5454694,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
336,W11641645187374-yj4oO,Tamarindus Indica,Tamarind,18.13435465,74.54593342,49,25,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
337,W11641645189598-yj4oO,Tamarindus Indica,Tamarind,18.13452734,74.5458962,46,28,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
338,W11641645192325-yj4oO,Tamarindus Indica,Tamarind,18.1344684,74.54615738,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
339,W11641645194414-yj4oO,Tamarindus Indica,Tamarind,18.13457768,74.54609569,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
340,W11641645196450-yj4oO,Tamarindus Indica,Tamarind,18.13450568,74.54598606,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
341,W11641645199408-yj4oO,Tamarindus Indica,Tamarind,18.13462452,74.54624187,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
342,W11641645200162-yj4oO,Tamarindus Indica,Tamarind,18.1346704,74.5463391,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
343,W11641645201159-yj4oO,Tamarindus Indica,Tamarind,18.13469972,74.54644203,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
344,W11641645210706-yj4oO,Tamarindus Indica,Tamarind,18.13474655,74.54646382,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
345,W11641645215824-yj4oO,Tamarindus Indica,Tamarind,18.13491925,74.54670221,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
346,W11641645229061-yj4oO,Tamarindus Indica,Tamarind,18.13508493,74.5470928,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
347,W11641645232376-yj4oO,Tamarindus Indica,Tamarind,18.13512348,74.5471897,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
348,W11641645233346-yj4oO,Tamarindus Indica,Tamarind,18.13518657,74.54724368,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
349,W11641645235790-yj4oO,Tamarindus Indica,Tamarind,18.1352025,74.54708576,48,34,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
350,W11641645236895-yj4oO,Tamarindus Indica,Tamarind,18.13523978,74.54717964,51,38,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
351,W11641645240320-yj4oO,Tamarindus Indica,Tamarind,18.13530542,74.54725474,52,37,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
352,W11641645243105-yj4oO,Tamarindus Indica,Tamarind,18.13533632,74.54731677,49,35,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
353,W11641645248982-yj4oO,Tamarindus Indica,Tamarind,18.13530637,74.54745926,46,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
354,W11641645259917-yj4oO,Tamarindus Indica,Tamarind,18.1354437,74.54764064,47,32,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
355,W11641645262185-yj4oO,Tamarindus Indica,Tamarind,18.13548544,74.5475005,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
356,W11641645264202-yj4oO,Tamarindus Indica,Tamarind,18.13563646,74.54774693,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
357,W11641645269790-yj4oO,Tamarindus Indica,Tamarind,18.13536978,74.54783611,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
358,W11641645272582-yj4oO,Tamarindus Indica,Tamarind,18.13538985,74.54797022,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
359,W11641645274341-yj4oO,Tamarindus Indica,Tamarind,18.1354523,74.54803023,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
360,W11641645279307-yj4oO,Tamarindus Indica,Tamarind,18.13556446,74.54781834,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
361,W11641645282007-yj4oO,Tamarindus Indica,Tamarind,18.13573141,74.547874,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
362,W11641645282799-yj4oO,Tamarindus Indica,Tamarind,18.13564411,74.547932,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
363,W11641645285373-yj4oO,Tamarindus Indica,Tamarind,18.13596624,74.54826359,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
364,W11641645292668-yj4oO,Tamarindus Indica,Tamarind,18.13583592,74.54829913,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
365,W11641645293403-yj4oO,Tamarindus Indica,Tamarind,18.13586332,74.54807885,48,34,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
366,W11641645294098-yj4oO,Tamarindus Indica,Tamarind,18.13590187,74.54846039,51,38,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
367,W11641645299390-yj4oO,Tamarindus Indica,Tamarind,18.13597834,74.54870481,52,37,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
368,W11641645301812-yj4oO,Tamarindus Indica,Tamarind,18.13593055,74.54853583,49,35,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
369,W11641645302538-yj4oO,Tamarindus Indica,Tamarind,18.13594043,74.54860155,46,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
370,W11641645316356-yj4oO,Tamarindus Indica,Tamarind,18.13621093,74.5490307,47,32,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
371,W11641645334394-yj4oO,Tamarindus Indica,Tamarind,18.13607488,74.54907026,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
372,W11641645334983-yj4oO,Tamarindus Indica,Tamarind,18.1360854,74.54905618,55,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
373,W11641645336464-yj4oO,Tamarindus Indica,Tamarind,18.13614785,74.54931267,48,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
374,W11641645340419-yj4oO,Tamarindus Indica,Tamarind,18.13617907,74.54942465,51,27.5,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
375,W11641645341484-yj4oO,Tamarindus Indica,Tamarind,18.13620106,74.5495078,52,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
376,W11641645345281-yj4oO,Tamarindus Indica,Tamarind,18.13595986,74.54965968,49,27,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
377,W11641645348533-yj4oO,Tamarindus Indica,Tamarind,18.13603091,74.54978138,46,26,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
378,W11641645352743-yj4oO,Tamarindus Indica,Tamarind,18.13629123,74.54940353,47,29,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
379,W11641645355442-yj4oO,Tamarindus Indica,Tamarind,18.13631608,74.54948734,49,31,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
380,W11641645376439-yj4oO,Tamarindus Indica,Tamarind,18.13631353,74.54981022,55,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
381,W11641645377578-yj4oO,Tamarindus Indica,Tamarind,18.13634061,74.54993997,48,34,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
382,W11641645378606-yj4oO,Tamarindus Indica,Tamarind,18.13644448,74.55017667,51,38,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
383,W11641645398627-yj4oO,Tamarindus Indica,Tamarind,18.13613001,74.55025747,52,37,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
384,W11641645415256-yj4oO,Tamarindus Indica,Tamarind,18.13712824,74.55159087,49,35,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
385,W11641645429086-yj4oO,Tamarindus Indica,Tamarind,18.13746788,74.55220073,46,33,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
386,W11641645429712-yj4oO,Tamarindus Indica,Tamarind,18.13749497,74.5523449,47,32,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
387,W11641645439261-yj4oO,Tamarindus Indica,Tamarind,18.13686601,74.55165055,49,39,Heritage,Good,Nira Baramati Road,Nira Baramati Road,A Raut,Government,Good
388,W11641645627533-yj4oO,Tamarindus Indica,Tamarind,18.13060952,74.53908674,55,38,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
389,W11641645628270-yj4oO,Tamarindus Indica,Tamarind,18.13035907,74.53869112,48,32,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
390,W11641645628997-yj4oO,Tamarindus Indica,Tamarind,18.1307529,74.53863882,51,34,Heritage,Good,Shardanagar,Shardanagar,A Raut,Government,Good
391,W11641645628270-yj4oO,Mangifera indica,Mango,18.16003758,74.57247321,51,38,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
392,W11641645628997-yj4oO,Mangifera indica,Mango,18.1599213,74.57241856,52,37,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
393,W11641645628270-yj4oO,Mangifera indica,Mango,18.15972155,74.5723277,49,35,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
394,W11641645628997-yj4oO,Mangifera indica,Mango,18.15944311,74.57218889,46,33,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
395,W11641645628270-yj4oO,Mangifera indica,Mango,18.15966166,74.57228411,47,32,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
396,W11641645628997-yj4oO,Mangifera indica,Mango,18.15966166,74.57228411,48,34,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
397,W11641645628270-yj4oO,Mangifera indica,Mango,18.1600328,74.57280446,49,39,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
398,W11641645628997-yj4oO,Samanea saman,Monkey pod tree,18.16001177,74.56925858,55,38,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
399,W11641645628270-yj4oO,Samanea saman,Monkey pod tree,18.15983496,74.56930317,48,32,Heritage,Good,Tatiya Easte,Tatiya Easte,A Raut,Government,Good
400,W11641645628997-yj4oO,Ficus racemosa,Cluster fig,18.15951193,74.57263246,67,56,Heritage,Good,Bohra Kabrstan,Bohra Kabrstan,A Raut,Government,Good
